VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000001000	2026-01-08 08:01:42.001	2026-01-08 08:01:48.623	Nosepoke Adaptation (Phase 2)	1	2	0	0	1	6.622066	1	6.222066	0	0	0.0	0.0
1	910200000001000	2026-01-08 08:07:05.739	2026-01-08 08:07:12.148	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	6.408659	1	6.008659	0	9	0.162	1.416405
2	910200000001000	2026-01-08 08:10:35.768	2026-01-08 08:10:40.748	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	4.980049	1	4.580049	0	1	0.018	0.194643
3	910200000001000	2026-01-08 08:12:27.792	2026-01-08 08:12:31.392	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	3.600513	1	3.200513	0	10	0.18	2.168456
4	910200000001000	2026-01-08 08:30:13.908	2026-01-08 08:30:18.793	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	4.88532	1	4.48532	0	12	0.216	2.074462
5	910200000001000	2026-01-08 08:31:07.834	2026-01-08 08:31:09.420	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	1.586626	1	1.186626	0	0	0.0	0.0
6	910200000001000	2026-01-08 08:32:00.485	2026-01-08 08:32:01.941	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	1.456004	1	1.056004	0	7	0.126	1.471517
7	910200000001000	2026-01-08 08:44:43.289	2026-01-08 08:44:54.511	Nosepoke Adaptation (Phase 2)	1	4	0	0	1	11.22196	1	10.82196	0	15	0.27	2.825148
8	910200000001000	2026-01-08 08:46:56.990	2026-01-08 08:47:03.652	Nosepoke Adaptation (Phase 2)	1	2	0	0	1	6.66209	1	6.26209	0	0	0.0	0.0
9	910200000001000	2026-01-08 08:52:32.910	2026-01-08 08:52:54.206	Nosepoke Adaptation (Phase 2)	1	4	0	0	1	21.295719	1	20.895719	0	11	0.198	2.280852
