VisitID	Start	End	Side	Bottle	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-13 08:04:43.535	2026-01-13 08:04:45.508	6	saccharin	1	0	0	0	18	0.324	3.431644	0	0	0	0	0	2026-01-13 08:04:43.535
1	2026-01-13 08:05:22.649	2026-01-13 08:05:23.303	4	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
2	2026-01-13 08:06:00.271	2026-01-13 08:06:01.729	6	saccharin	1	0	0	0	16	0.288	2.695645	0	0	0	0	0	2026-01-13 08:06:00.271
4	2026-01-13 08:15:31.945	2026-01-13 08:15:32.842	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
5	2026-01-13 08:19:58.562	2026-01-13 08:19:59.688	6	saccharin	1	0	0	0	22	0.396	4.489171	0	0	0	0	0	2026-01-13 08:19:58.562
6	2026-01-13 08:20:48.288	2026-01-13 08:20:48.778	1	plain water	-1	1	0	1	1	0.018	0.142442	0	0	0	0	0	2026-01-13 08:20:48.288
7	2026-01-13 08:28:23.187	2026-01-13 08:28:24.496	4	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
8	2026-01-13 08:29:15.168	2026-01-13 08:29:17.036	6	saccharin	1	0	0	0	17	0.306	3.089036	0	0	0	0	0	2026-01-13 08:29:15.168
10	2026-01-13 08:37:02.039	2026-01-13 08:37:02.986	8	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
11	2026-01-13 08:37:45.490	2026-01-13 08:37:46.653	6	saccharin	1	0	0	0	9	0.162	1.608382	0	0	0	0	0	2026-01-13 08:37:45.490
12	2026-01-13 08:38:05.907	2026-01-13 08:38:07.102	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
13	2026-01-13 08:40:08.649	2026-01-13 08:40:09.389	6	saccharin	1	0	0	0	7	0.126	1.336445	0	0	0	0	0	2026-01-13 08:40:08.649
14	2026-01-13 08:43:26.330	2026-01-13 08:43:28.034	5	plain water	1	0	0	0	18	0.324	2.562608	0	0	0	0	0	2026-01-13 08:43:26.330
16	2026-01-13 08:45:28.757	2026-01-13 08:45:29.673	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
18	2026-01-13 08:47:58.799	2026-01-13 08:47:59.158	6	saccharin	1	0	0	0	17	0.306	3.579567	0	0	0	0	0	2026-01-13 08:47:58.799
19	2026-01-13 08:50:07.864	2026-01-13 08:50:08.878	6	saccharin	1	0	0	0	15	0.27	2.987529	0	0	0	0	0	2026-01-13 08:50:07.864
24	2026-01-13 09:00:27.632	2026-01-13 09:00:28.773	5	plain water	1	0	0	0	13	0.234	2.082261	0	0	0	0	0	2026-01-13 09:00:27.632
26	2026-01-13 09:04:22.571	2026-01-13 09:04:23.433	6	saccharin	1	0	0	0	9	0.162	1.585651	0	0	0	0	0	2026-01-13 09:04:22.571
27	2026-01-13 09:04:46.349	2026-01-13 09:04:47.486	6	saccharin	1	0	0	0	20	0.36	4.37007	0	0	0	0	0	2026-01-13 09:04:46.349
28	2026-01-13 09:07:42.030	2026-01-13 09:07:43.372	6	saccharin	1	0	0	0	15	0.27	2.524445	0	0	0	0	0	2026-01-13 09:07:42.030
29	2026-01-13 09:10:42.177	2026-01-13 09:10:45.189	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
32	2026-01-13 09:17:11.516	2026-01-13 09:17:12.216	6	saccharin	1	0	0	0	12	0.216	2.4649	0	0	0	0	0	2026-01-13 09:17:11.516
33	2026-01-13 09:23:17.679	2026-01-13 09:23:18.700	8	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
38	2026-01-13 09:50:53.787	2026-01-13 09:50:56.495	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
40	2026-01-13 09:52:26.063	2026-01-13 09:52:28.467	8	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
42	2026-01-13 09:55:19.948	2026-01-13 09:55:21.520	6	saccharin	1	0	0	0	9	0.162	1.346852	0	0	0	0	0	2026-01-13 09:55:19.948
43	2026-01-13 09:58:50.116	2026-01-13 09:58:51.171	3	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
44	2026-01-13 10:02:03.816	2026-01-13 10:02:06.234	6	saccharin	1	0	0	0	11	0.198	1.84465	0	0	0	0	0	2026-01-13 10:02:03.816
46	2026-01-13 10:07:44.258	2026-01-13 10:07:45.342	5	plain water	1	0	0	0	17	0.306	2.949792	0	0	0	0	0	2026-01-13 10:07:44.258
47	2026-01-13 10:15:07.850	2026-01-13 10:15:08.983	4	saccharin	-1	1	0	1	4	0.072	0.570202	0	0	0	0	0	2026-01-13 10:15:07.850
48	2026-01-13 10:17:05.484	2026-01-13 10:17:07.173	6	saccharin	1	0	0	0	16	0.288	3.44619	0	0	0	0	0	2026-01-13 10:17:05.484
51	2026-01-13 10:39:17.796	2026-01-13 10:39:19.162	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
52	2026-01-13 10:41:22.383	2026-01-13 10:41:25.008	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
