VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000001000	2026-01-10 08:04:03.439	2026-01-10 08:04:08.064	Place Learning Test (Phase 3)	1	4	-1	1	1	4.625635	1	4.225635	0	0	0.0	0.0
1	910200000001000	2026-01-10 08:05:26.957	2026-01-10 08:05:29.436	Place Learning Test (Phase 3)	1	1	1	0	1	2.478947	1	2.078947	0	19	0.342	4.066817
2	910200000001000	2026-01-10 08:13:50.004	2026-01-10 08:13:55.971	Place Learning Test (Phase 3)	1	2	-1	1	1	5.966971	1	5.566971	0	0	0.0	0.0
3	910200000001000	2026-01-10 08:17:56.275	2026-01-10 08:17:58.851	Place Learning Test (Phase 3)	1	2	-1	1	1	2.576005	1	2.176005	0	0	0.0	0.0
4	910200000001000	2026-01-10 08:22:33.906	2026-01-10 08:22:34.730	Place Learning Test (Phase 3)	1	3	-1	1	1	0.824015	1	0.424015	0	0	0.0	0.0
5	910200000001000	2026-01-10 08:26:47.811	2026-01-10 08:26:48.794	Place Learning Test (Phase 3)	1	4	-1	1	1	0.98345	1	0.58345	0	0	0.0	0.0
6	910200000001000	2026-01-10 08:39:16.441	2026-01-10 08:39:18.122	Place Learning Test (Phase 3)	1	3	-1	1	1	1.681055	1	1.281055	0	0	0.0	0.0
7	910200000001000	2026-01-10 08:42:38.722	2026-01-10 08:42:53.434	Place Learning Test (Phase 3)	1	1	1	0	1	14.712925	1	14.312925	0	22	0.396	4.219751
8	910200000001000	2026-01-10 08:44:51.439	2026-01-10 08:44:52.139	Place Learning Test (Phase 3)	1	1	1	0	1	0.7	1	0.3	0	13	0.234	2.694134
9	910200000001000	2026-01-10 08:45:43.959	2026-01-10 08:45:52.113	Place Learning Test (Phase 3)	1	3	-1	1	1	8.154409	1	7.754409	0	0	0.0	0.0
10	910200000001000	2026-01-10 08:47:44.165	2026-01-10 08:47:47.968	Place Learning Test (Phase 3)	1	3	-1	1	1	3.803169	1	3.403169	0	0	0.0	0.0
11	910200000001000	2026-01-10 08:55:12.561	2026-01-10 08:55:16.724	Place Learning Test (Phase 3)	1	3	-1	1	1	4.162829	1	3.762829	0	0	0.0	0.0
12	910200000001000	2026-01-10 09:05:51.921	2026-01-10 09:06:10.758	Place Learning Test (Phase 3)	1	1	1	0	1	18.837503	1	18.437503	0	16	0.288	2.890441
13	910200000001000	2026-01-10 09:06:12.827	2026-01-10 09:06:19.043	Place Learning Test (Phase 3)	1	2	-1	1	1	6.216125	1	5.816125	0	0	0.0	0.0
14	910200000001000	2026-01-10 09:08:23.331	2026-01-10 09:08:31.034	Place Learning Test (Phase 3)	1	1	1	0	1	7.703365	1	7.303365	0	19	0.342	3.588215
15	910200000001000	2026-01-10 09:08:54.248	2026-01-10 09:09:02.943	Place Learning Test (Phase 3)	1	3	-1	1	1	8.694998	1	8.294998	0	0	0.0	0.0
16	910200000001000	2026-01-10 09:14:00.967	2026-01-10 09:14:05.528	Place Learning Test (Phase 3)	1	3	-1	1	1	4.560853	1	4.160853	0	0	0.0	0.0
17	910200000001000	2026-01-10 09:31:27.559	2026-01-10 09:31:29.077	Place Learning Test (Phase 3)	1	2	-1	1	1	1.517792	1	1.117792	0	0	0.0	0.0
18	910200000001000	2026-01-10 09:34:12.404	2026-01-10 09:34:17.165	Place Learning Test (Phase 3)	1	2	-1	1	1	4.761484	1	4.361484	0	0	0.0	0.0
19	910200000001000	2026-01-10 09:35:04.223	2026-01-10 09:35:13.233	Place Learning Test (Phase 3)	1	4	-1	1	1	9.009721	1	8.609721	0	0	0.0	0.0
