VisitID	Start	End	Side	Bottle	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
1	2026-01-10 08:05:27.095	2026-01-10 08:05:28.950	2	saccharin	1	0	0	0	19	0.342	4.066817	0	0	0	0	0	2026-01-10 08:05:27.095
2	2026-01-10 08:13:50.328	2026-01-10 08:13:52.068	3	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
3	2026-01-10 08:17:56.772	2026-01-10 08:17:59.348	4	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
4	2026-01-10 08:22:34.279	2026-01-10 08:22:34.932	6	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
7	2026-01-10 08:42:39.195	2026-01-10 08:42:39.641	2	saccharin	1	0	0	0	22	0.396	4.219751	0	0	0	0	0	2026-01-10 08:42:39.195
8	2026-01-10 08:44:51.793	2026-01-10 08:44:52.493	2	saccharin	1	0	0	0	13	0.234	2.694134	0	0	0	0	0	2026-01-10 08:44:51.793
9	2026-01-10 08:45:44.143	2026-01-10 08:45:44.343	5	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
12	2026-01-10 09:05:51.986	2026-01-10 09:05:52.406	2	saccharin	1	0	0	0	16	0.288	2.890441	0	0	0	0	0	2026-01-10 09:05:51.986
14	2026-01-10 09:08:23.905	2026-01-10 09:08:26.350	2	saccharin	1	0	0	0	19	0.342	3.588215	0	0	0	0	0	2026-01-10 09:08:23.905
18	2026-01-10 09:34:12.980	2026-01-10 09:34:15.452	3	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
19	2026-01-10 09:35:04.448	2026-01-10 09:35:06.218	8	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
20	2026-01-10 09:39:17.674	2026-01-10 09:39:19.404	2	saccharin	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
21	2026-01-10 09:40:37.653	2026-01-10 09:40:38.917	2	saccharin	1	0	0	0	15	0.27	2.571817	0	0	0	0	0	2026-01-10 09:40:37.653
22	2026-01-10 09:41:20.937	2026-01-10 09:41:21.932	2	saccharin	1	0	0	0	22	0.396	4.755327	0	0	0	0	0	2026-01-10 09:41:20.937
23	2026-01-10 09:46:43.787	2026-01-10 09:46:44.844	8	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
25	2026-01-10 09:49:23.274	2026-01-10 09:49:25.490	6	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
