VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000002000	2026-01-17 13:32:51.296	2026-01-17 13:32:53.369	Free Habituation (Phase 1)	1	3	0	0	1	2.073572	1	1.673572	0	0	0.0	0.0
1	910200000002000	2026-01-17 13:42:17.201	2026-01-17 13:42:18.145	Free Habituation (Phase 1)	1	3	0	0	1	0.943226	1	0.543226	0	0	0.0	0.0
2	910200000002000	2026-01-17 13:45:59.923	2026-01-17 13:46:00.623	Free Habituation (Phase 1)	1	3	0	0	1	0.7	1	0.3	0	0	0.0	0.0
3	910200000002000	2026-01-17 13:49:49.826	2026-01-17 13:49:53.257	Free Habituation (Phase 1)	1	4	0	0	1	3.430949	1	3.030949	0	0	0.0	0.0
4	910200000002000	2026-01-17 13:52:51.489	2026-01-17 13:52:56.286	Free Habituation (Phase 1)	1	2	0	0	1	4.797148	1	4.397148	0	0	0.0	0.0
5	910200000002000	2026-01-17 13:57:27.952	2026-01-17 13:57:29.943	Free Habituation (Phase 1)	1	1	0	0	1	1.990987	1	1.590987	0	0	0.0	0.0
6	910200000002000	2026-01-17 14:19:33.912	2026-01-17 14:19:36.649	Free Habituation (Phase 1)	1	1	0	0	1	2.736914	1	2.336914	0	0	0.0	0.0
7	910200000002000	2026-01-17 14:19:46.487	2026-01-17 14:19:50.496	Free Habituation (Phase 1)	1	3	0	0	1	4.008488	1	3.608488	0	7	0.126	1.513937
8	910200000002000	2026-01-17 14:26:36.938	2026-01-17 14:26:41.144	Free Habituation (Phase 1)	1	1	0	0	1	4.205311	1	3.805311	0	0	0.0	0.0
9	910200000002000	2026-01-17 14:27:18.159	2026-01-17 14:27:31.002	Free Habituation (Phase 1)	1	4	0	0	1	12.842502	1	12.442502	0	0	0.0	0.0
10	910200000002000	2026-01-17 14:32:05.753	2026-01-17 14:32:10.388	Free Habituation (Phase 1)	1	4	0	0	1	4.635214	1	4.235214	0	0	0.0	0.0
11	910200000002000	2026-01-17 14:34:14.289	2026-01-17 14:34:20.791	Free Habituation (Phase 1)	1	4	0	0	1	6.501878	1	6.101878	0	0	0.0	0.0
12	910200000002000	2026-01-17 14:36:40.628	2026-01-17 14:36:43.721	Free Habituation (Phase 1)	1	1	0	0	1	3.092364	1	2.692364	0	0	0.0	0.0
13	910200000002000	2026-01-17 14:45:33.991	2026-01-17 14:45:40.659	Free Habituation (Phase 1)	1	4	0	0	1	6.667988	1	6.267988	0	0	0.0	0.0
14	910200000002000	2026-01-17 14:50:17.665	2026-01-17 14:50:26.253	Free Habituation (Phase 1)	1	1	0	0	1	8.588173	1	8.188173	0	3	0.054	0.549134
15	910200000002000	2026-01-17 14:54:40.469	2026-01-17 14:54:44.351	Free Habituation (Phase 1)	1	2	0	0	1	3.88194	1	3.48194	0	0	0.0	0.0
16	910200000002000	2026-01-17 14:55:16.411	2026-01-17 14:55:17.472	Free Habituation (Phase 1)	1	3	0	0	1	1.061195	1	0.661195	0	7	0.126	1.242033
17	910200000002000	2026-01-17 15:05:23.549	2026-01-17 15:05:25.982	Free Habituation (Phase 1)	1	2	0	0	1	2.432525	1	2.032525	0	0	0.0	0.0
18	910200000002000	2026-01-17 15:05:31.766	2026-01-17 15:05:38.907	Free Habituation (Phase 1)	1	4	0	0	1	7.140778	1	6.740778	0	0	0.0	0.0
19	910200000002000	2026-01-17 15:06:32.987	2026-01-17 15:06:40.639	Free Habituation (Phase 1)	1	2	0	0	1	7.651889	1	7.251889	0	0	0.0	0.0
20	910200000002000	2026-01-17 15:07:51.989	2026-01-17 15:07:57.245	Free Habituation (Phase 1)	1	2	0	0	1	5.256216	1	4.856216	0	0	0.0	0.0
21	910200000002000	2026-01-17 15:23:56.731	2026-01-17 15:23:58.882	Free Habituation (Phase 1)	1	2	0	0	1	2.151123	1	1.751123	0	0	0.0	0.0
22	910200000002000	2026-01-17 15:30:51.816	2026-01-17 15:30:52.617	Free Habituation (Phase 1)	1	2	0	0	1	0.800678	1	0.400678	0	0	0.0	0.0
23	910200000002000	2026-01-17 15:31:50.883	2026-01-17 15:31:52.933	Free Habituation (Phase 1)	1	4	0	0	1	2.050272	1	1.650272	0	0	0.0	0.0
