VisitID	Start	End	Side	Bottle	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
1	2026-01-17 13:42:17.319	2026-01-17 13:42:17.959	5	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
5	2026-01-17 13:57:28.024	2026-01-17 13:57:28.712	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
7	2026-01-17 14:19:46.693	2026-01-17 14:19:48.169	5	plain water	0	0	0	0	7	0.126	1.513937	0	0	0	0	0	2026-01-17 14:19:46.693
8	2026-01-17 14:26:37.294	2026-01-17 14:26:38.438	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
9	2026-01-17 14:27:18.748	2026-01-17 14:27:19.371	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
10	2026-01-17 14:32:06.218	2026-01-17 14:32:07.056	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
11	2026-01-17 14:34:14.786	2026-01-17 14:34:17.913	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
12	2026-01-17 14:36:40.742	2026-01-17 14:36:42.706	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
14	2026-01-17 14:50:17.981	2026-01-17 14:50:18.291	1	plain water	0	0	0	0	3	0.054	0.549134	0	0	0	0	0	2026-01-17 14:50:17.981
15	2026-01-17 14:54:40.911	2026-01-17 14:54:42.060	4	saccharin	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
16	2026-01-17 14:55:16.926	2026-01-17 14:55:17.987	6	saccharin	0	0	0	0	7	0.126	1.242033	0	0	0	0	0	2026-01-17 14:55:16.926
18	2026-01-17 15:05:32.275	2026-01-17 15:05:34.654	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
20	2026-01-17 15:07:52.479	2026-01-17 15:07:53.084	3	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
22	2026-01-17 15:30:52.144	2026-01-17 15:30:52.843	3	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
23	2026-01-17 15:31:51.252	2026-01-17 15:31:53.164	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
24	2026-01-17 15:32:00.026	2026-01-17 15:32:02.037	8	saccharin	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
27	2026-01-17 15:51:33.688	2026-01-17 15:51:34.682	7	plain water	0	0	0	0	6	0.108	0.892383	0	0	0	0	0	2026-01-17 15:51:33.688
28	2026-01-17 15:52:13.168	2026-01-17 15:52:14.075	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
29	2026-01-17 15:53:25.796	2026-01-17 15:53:26.371	6	saccharin	0	0	0	0	6	0.108	1.127194	0	0	0	0	0	2026-01-17 15:53:25.796
30	2026-01-17 16:12:26.305	2026-01-17 16:12:27.150	4	saccharin	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
34	2026-01-17 16:37:25.747	2026-01-17 16:37:26.891	7	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
35	2026-01-17 16:47:00.201	2026-01-17 16:47:05.489	8	saccharin	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
37	2026-01-17 17:09:17.756	2026-01-17 17:09:18.162	3	plain water	0	0	0	0	5	0.09	0.933396	0	0	0	0	0	2026-01-17 17:09:17.756
38	2026-01-17 17:10:43.544	2026-01-17 17:10:46.149	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
40	2026-01-17 17:21:17.156	2026-01-17 17:21:17.751	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
41	2026-01-17 17:21:21.846	2026-01-17 17:21:22.995	3	plain water	0	0	0	0	1	0.018	0.21575	0	0	0	0	0	2026-01-17 17:21:21.846
43	2026-01-17 17:40:45.500	2026-01-17 17:40:46.115	7	plain water	0	0	0	0	5	0.09	1.035886	0	0	0	0	0	2026-01-17 17:40:45.500
44	2026-01-17 17:44:33.056	2026-01-17 17:44:35.556	1	plain water	0	0	0	0	3	0.054	0.596254	0	0	0	0	0	2026-01-17 17:44:33.056
46	2026-01-17 17:59:54.987	2026-01-17 17:59:56.158	5	plain water	0	0	0	0	6	0.108	1.011382	0	0	0	0	0	2026-01-17 17:59:54.987
47	2026-01-17 18:20:31.046	2026-01-17 18:20:32.393	1	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
48	2026-01-17 18:25:28.235	2026-01-17 18:25:28.960	7	plain water	0	0	0	0	2	0.036	0.390403	0	0	0	0	0	2026-01-17 18:25:28.235
49	2026-01-17 18:36:53.835	2026-01-17 18:36:54.443	3	plain water	0	0	0	0	4	0.072	0.623311	0	0	0	0	0	2026-01-17 18:36:53.835
50	2026-01-17 18:53:49.859	2026-01-17 18:53:50.878	5	plain water	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
