VisitID	Start	End	Side	Bottle	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-25 08:06:47.178	2026-01-25 08:06:47.428	4	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
1	2026-01-25 08:11:09.960	2026-01-25 08:11:12.219	7	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
3	2026-01-25 08:18:52.089	2026-01-25 08:18:54.064	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
4	2026-01-25 08:23:29.116	2026-01-25 08:23:31.102	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
7	2026-01-25 09:03:41.918	2026-01-25 09:03:46.054	7	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
8	2026-01-25 09:07:28.054	2026-01-25 09:07:28.969	5	plain water	1	0	0	0	9	0.162	1.3969	0	0	0	0	0	2026-01-25 09:07:28.054
10	2026-01-25 09:26:20.087	2026-01-25 09:26:20.875	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
14	2026-01-25 09:38:02.787	2026-01-25 09:38:03.730	6	saccharin	1	0	0	0	15	0.27	2.822756	0	0	0	0	0	2026-01-25 09:38:02.787
15	2026-01-25 09:54:56.740	2026-01-25 09:54:57.057	5	plain water	1	0	0	0	16	0.288	3.121449	0	0	0	0	0	2026-01-25 09:54:56.740
20	2026-01-25 10:06:36.844	2026-01-25 10:06:38.742	5	plain water	1	0	0	0	9	0.162	1.794164	0	0	0	0	0	2026-01-25 10:06:36.844
21	2026-01-25 10:11:12.104	2026-01-25 10:11:12.304	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
22	2026-01-25 10:14:35.535	2026-01-25 10:14:36.692	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
24	2026-01-25 10:22:26.986	2026-01-25 10:22:29.898	5	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
28	2026-01-25 10:33:33.985	2026-01-25 10:33:35.445	7	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
37	2026-01-25 11:34:29.928	2026-01-25 11:34:31.879	5	plain water	1	0	0	0	9	0.162	1.774694	0	0	0	0	0	2026-01-25 11:34:29.928
38	2026-01-25 11:36:09.069	2026-01-25 11:36:11.927	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
43	2026-01-25 11:44:53.511	2026-01-25 11:44:57.910	5	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
45	2026-01-25 11:52:49.203	2026-01-25 11:52:53.069	5	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
46	2026-01-25 12:19:20.838	2026-01-25 12:19:22.963	1	plain water	-1	1	0	1	2	0.036	0.384836	0	0	0	0	0	2026-01-25 12:19:20.838
50	2026-01-25 13:12:27.501	2026-01-25 13:12:28.270	7	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
51	2026-01-25 13:23:30.449	2026-01-25 13:23:33.090	5	plain water	1	0	0	0	9	0.162	1.321694	0	0	0	0	0	2026-01-25 13:23:30.449
53	2026-01-25 13:28:00.451	2026-01-25 13:28:01.538	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
59	2026-01-25 14:04:48.761	2026-01-25 14:04:50.781	5	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
61	2026-01-25 14:13:55.856	2026-01-25 14:13:56.556	6	saccharin	1	0	0	0	12	0.216	2.482489	0	0	0	0	0	2026-01-25 14:13:55.856
65	2026-01-25 14:28:16.755	2026-01-25 14:28:18.562	5	plain water	1	0	0	0	8	0.144	1.386448	0	0	0	0	0	2026-01-25 14:28:16.755
66	2026-01-25 14:28:21.069	2026-01-25 14:28:23.031	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
67	2026-01-25 14:37:02.536	2026-01-25 14:37:03.103	6	saccharin	1	0	0	0	9	0.162	1.609429	0	0	0	0	0	2026-01-25 14:37:02.536
69	2026-01-25 14:44:04.919	2026-01-25 14:44:06.419	5	plain water	1	0	0	0	10	0.18	2.010872	0	0	0	0	0	2026-01-25 14:44:04.919
70	2026-01-25 14:45:40.278	2026-01-25 14:45:40.483	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
72	2026-01-25 14:58:58.342	2026-01-25 14:58:59.309	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
74	2026-01-25 15:03:41.984	2026-01-25 15:03:42.184	2	saccharin	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
75	2026-01-25 15:20:00.814	2026-01-25 15:20:02.002	5	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
76	2026-01-25 15:26:44.003	2026-01-25 15:26:44.899	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
78	2026-01-25 15:32:24.485	2026-01-25 15:32:25.585	6	saccharin	1	0	0	0	13	0.234	2.71253	0	0	0	0	0	2026-01-25 15:32:24.485
79	2026-01-25 15:33:42.115	2026-01-25 15:33:44.901	3	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
82	2026-01-25 15:37:12.403	2026-01-25 15:37:13.398	6	saccharin	1	0	0	0	12	0.216	2.100778	0	0	0	0	0	2026-01-25 15:37:12.403
86	2026-01-25 15:49:24.391	2026-01-25 15:49:27.675	5	plain water	1	0	0	0	8	0.144	1.34352	0	0	0	0	0	2026-01-25 15:49:24.391
87	2026-01-25 15:57:15.166	2026-01-25 15:57:15.366	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
92	2026-01-25 16:16:00.334	2026-01-25 16:16:01.635	6	saccharin	1	0	0	0	7	0.126	1.520059	0	0	0	0	0	2026-01-25 16:16:00.334
94	2026-01-25 16:19:13.430	2026-01-25 16:19:14.153	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
98	2026-01-25 16:25:43.780	2026-01-25 16:25:45.049	1	plain water	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
