VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000002000	2026-01-10 08:22:50.000	2026-01-10 08:23:00.553	Place Learning Test (Phase 3)	1	2	-1	1	1	10.552391	1	10.152391	0	1	0.018	0.160566
1	910200000002000	2026-01-10 08:37:28.109	2026-01-10 08:37:29.444	Place Learning Test (Phase 3)	1	1	1	0	1	1.334235	1	0.934235	0	0	0.0	0.0
2	910200000002000	2026-01-10 10:58:05.854	2026-01-10 10:58:09.298	Place Learning Test (Phase 3)	1	4	-1	1	1	3.44444	1	3.04444	0	0	0.0	0.0
3	910200000002000	2026-01-10 12:05:52.185	2026-01-10 12:05:53.322	Place Learning Test (Phase 3)	1	4	-1	1	1	1.137337	1	0.737337	0	0	0.0	0.0
4	910200000002000	2026-01-10 15:07:37.889	2026-01-10 15:07:38.799	Place Learning Test (Phase 3)	1	1	1	0	1	0.910379	1	0.510379	0	0	0.0	0.0
5	910200000002000	2026-01-10 16:16:31.389	2026-01-10 16:16:44.647	Place Learning Test (Phase 3)	1	4	-1	1	1	13.257382	1	12.857382	0	0	0.0	0.0
6	910200000002000	2026-01-10 16:23:55.607	2026-01-10 16:23:56.650	Place Learning Test (Phase 3)	1	3	-1	1	1	1.043273	1	0.643273	0	0	0.0	0.0
7	910200000002000	2026-01-11 02:56:17.649	2026-01-11 02:56:19.455	Place Learning Test (Phase 3)	1	1	1	0	1	1.805378	1	1.405378	0	0	0.0	0.0
8	910200000002000	2026-01-11 05:21:01.679	2026-01-11 05:21:04.332	Place Learning Test (Phase 3)	1	4	-1	1	1	2.653015	1	2.253015	0	0	0.0	0.0
9	910200000002000	2026-01-11 07:21:27.491	2026-01-11 07:21:30.812	Place Learning Test (Phase 3)	1	2	-1	1	1	3.320657	1	2.920657	0	0	0.0	0.0
10	910200000002000	2026-01-11 07:27:36.298	2026-01-11 07:27:38.567	Place Learning Test (Phase 3)	1	4	-1	1	1	2.268836	1	1.868836	0	0	0.0	0.0
11	910200000002000	2026-01-11 10:36:11.661	2026-01-11 10:36:17.831	Place Learning Test (Phase 3)	1	3	-1	1	1	6.16937	1	5.76937	0	0	0.0	0.0
12	910200000002000	2026-01-11 13:30:09.047	2026-01-11 13:30:14.078	Place Learning Test (Phase 3)	1	1	1	0	1	5.030925	1	4.630925	0	16	0.288	2.39569
13	910200000002000	2026-01-11 14:59:01.619	2026-01-11 14:59:12.459	Place Learning Test (Phase 3)	1	1	1	0	1	10.839921	1	10.439921	0	0	0.0	0.0
14	910200000002000	2026-01-12 07:05:06.430	2026-01-12 07:05:11.863	Place Learning Test (Phase 3)	1	1	1	0	1	5.433298	1	5.033298	0	9	0.162	1.620714
15	910200000002000	2026-01-12 08:09:22.098	2026-01-12 08:09:22.961	Place Learning Test (Phase 3)	1	4	-1	1	1	0.863467	1	0.463467	0	0	0.0	0.0
16	910200000002000	2026-01-12 14:52:16.819	2026-01-12 14:52:21.610	Place Learning Test (Phase 3)	1	2	-1	1	1	4.791114	1	4.391114	0	0	0.0	0.0
17	910200000002000	2026-01-12 15:37:07.066	2026-01-12 15:37:12.814	Place Learning Test (Phase 3)	1	3	-1	1	1	5.747781	1	5.347781	0	0	0.0	0.0
18	910200000002000	2026-01-12 16:35:31.626	2026-01-12 16:35:35.439	Place Learning Test (Phase 3)	1	2	-1	1	1	3.813539	1	3.413539	0	0	0.0	0.0
19	910200000002000	2026-01-12 18:19:52.142	2026-01-12 18:19:54.713	Place Learning Test (Phase 3)	1	1	1	0	1	2.57101	1	2.17101	0	0	0.0	0.0
20	910200000002000	2026-01-13 06:50:08.865	2026-01-13 06:50:17.264	Place Learning Test (Phase 3)	1	1	1	0	1	8.39888	1	7.99888	0	12	0.216	2.569354
21	910200000002000	2026-01-13 06:50:46.976	2026-01-13 06:50:50.891	Place Learning Test (Phase 3)	1	3	-1	1	1	3.914852	1	3.514852	0	0	0.0	0.0
22	910200000002001	2026-01-10 10:04:40.770	2026-01-10 10:04:45.985	Place Learning Test (Phase 3)	1	3	-1	1	1	5.214585	1	4.814585	0	0	0.0	0.0
